City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adrar,20.5022,-10.0711,16.67,16,100,4.84,MR,1675546546
1,punta arenas,-53.15,-70.9167,10.06,93,100,4.12,CL,1675546514
2,vysokogornyy,50.1167,139.15,-27.44,100,99,0.7,RU,1675546740
3,mount gambier,-37.8333,140.7667,14.52,78,100,1.48,AU,1675546593
4,jamestown,42.097,-79.2353,-3.03,32,0,6.17,US,1675546570
5,qaanaaq,77.484,-69.3632,-19.66,62,85,2.42,GL,1675546677
6,castro,-24.7911,-50.0119,18.6,92,80,2.43,BR,1675546741
7,mecca,21.4267,39.8261,20.07,57,6,2.63,SA,1675546675
8,cherskiy,68.75,161.3,-38.11,100,97,1.93,RU,1675546566
9,ushuaia,-54.8,-68.3,11.81,58,75,5.14,AR,1675546564
10,mataura,-46.1927,168.8643,21.93,72,100,1.67,NZ,1675546572
11,kahului,20.8947,-156.47,25.17,77,20,7.72,US,1675546743
12,abu samrah,35.3029,37.1841,5.33,81,100,0.59,SY,1675546744
13,lebu,-37.6167,-73.65,17.05,86,57,2.24,CL,1675546362
14,portland,45.5234,-122.6762,11.79,79,100,4.47,US,1675545934
15,cabo san lucas,22.8909,-109.9124,26.61,47,0,3.6,MX,1675546535
16,awjilah,29.1081,21.2869,12.5,52,100,2.09,LY,1675546752
17,najran,17.4924,44.1277,17.36,50,48,1.18,SA,1675546758
18,rikitea,-23.1203,-134.9692,26.08,74,2,6.17,PF,1675546547
19,petropavlovsk-kamchatskiy,53.0452,158.6483,-16.79,71,40,4.0,RU,1675546761
20,bluff,-46.6,168.3333,17.55,94,100,5.61,NZ,1675546601
21,nanortalik,60.1432,-45.2371,-3.53,74,99,7.48,GL,1675546556
22,kaitangata,-46.2817,169.8464,21.32,70,100,1.93,NZ,1675546772
23,nikel,69.4128,30.222,-13.9,100,87,1.19,RU,1675546773
24,bagdarin,54.4333,113.6,-24.39,95,65,1.7,RU,1675546774
25,east london,-33.0153,27.9116,23.7,83,100,5.29,ZA,1675546724
26,houma,29.5958,-90.7195,18.89,64,0,4.63,US,1675546730
27,cidreira,-30.1811,-50.2056,24.29,70,64,4.62,BR,1675546564
28,preobrazheniye,42.9019,133.9064,-8.97,71,30,2.92,RU,1675546624
29,mujiayingzi,42.1167,118.7833,-6.5,41,79,2.97,CN,1675546776
30,leh,34.1667,77.5833,-15.51,83,77,0.99,IN,1675546580
31,samarai,-10.6167,150.6667,27.77,77,82,2.76,PG,1675546673
32,amuntai,-2.4177,115.2494,22.54,88,100,0.49,ID,1675546777
33,mar del plata,-38.0023,-57.5575,22.13,68,0,5.66,AR,1675546336
34,victoria,22.2855,114.1577,18.3,86,100,4.02,HK,1675546515
35,vanimo,-2.6741,141.3028,25.69,86,100,1.51,PG,1675546668
36,high rock,26.6208,-78.2833,22.01,74,96,11.45,BS,1675546778
37,walvis bay,-22.9575,14.5053,18.38,78,100,4.73,NA,1675546778
38,ponta do sol,32.6667,-17.1,17.35,58,18,4.32,PT,1675546656
39,dikson,73.5069,80.5464,-19.98,98,100,1.49,RU,1675546662
40,kloulklubed,7.0419,134.2556,27.96,76,98,8.1,PW,1675546779
41,provideniya,64.3833,-173.3,-19.58,88,100,4.87,RU,1675546538
42,yeppoon,-23.1333,150.7333,27.88,83,59,4.14,AU,1675546780
43,chuy,-33.6971,-53.4616,20.26,80,3,6.96,UY,1675546617
44,atuona,-9.8,-139.0333,26.03,72,38,8.46,PF,1675546442
45,springbok,-29.6643,17.8865,15.57,77,1,0.77,ZA,1675546601
46,stepnyak,52.8339,70.7803,-22.24,100,97,1.57,KZ,1675546781
47,rondonopolis,-16.4708,-54.6356,25.49,87,98,0.85,BR,1675546488
48,lixourion,38.2019,20.4314,11.19,60,43,15.55,GR,1675546782
49,bandarbeyla,9.4942,50.8122,23.7,67,92,6.78,SO,1675546574
50,port hedland,-20.3167,118.5667,25.03,88,17,4.12,AU,1675546635
51,road town,18.4167,-64.6167,26.05,83,40,4.63,VG,1675546673
52,burnie,-41.0667,145.9167,15.46,62,4,4.53,AU,1675546622
53,qaqortoq,60.7167,-46.0333,-4.32,74,98,10.22,GL,1675546783
54,bodden town,19.2833,-81.25,28.0,69,20,4.63,KY,1675546784
55,hovd,48.0056,91.6419,-15.75,81,53,0.58,MN,1675546728
56,viransehir,37.2353,39.7631,0.96,100,100,4.35,TR,1675546785
57,hilo,19.7297,-155.09,24.03,93,75,2.57,US,1675546454
58,cape town,-33.9258,18.4232,24.65,83,40,2.57,ZA,1675546522
59,sibolga,1.7427,98.7792,24.29,86,100,1.43,ID,1675546554
60,geraldton,-28.7667,114.6,21.23,94,75,3.09,AU,1675546544
61,hobyo,5.3505,48.5268,23.82,73,70,6.85,SO,1675546699
62,florida,28.7505,-82.5001,23.28,55,40,4.12,US,1675546787
63,bonavista,48.6499,-53.1147,-11.92,72,92,17.21,CA,1675546666
64,thompson,55.7435,-97.8558,-18.91,65,20,1.54,CA,1675546600
65,port elizabeth,-33.918,25.5701,24.1,62,100,0.65,ZA,1675546716
66,pangnirtung,66.1451,-65.7125,-36.61,98,75,1.08,CA,1675546524
67,morehead,37.2711,-87.1764,8.86,43,0,5.66,US,1675546681
68,sistranda,63.7256,8.834,1.98,55,100,4.18,NO,1675546612
69,upernavik,72.7868,-56.1549,-21.41,96,100,2.19,GL,1675546636
70,bethel,41.3712,-73.414,-7.02,36,20,3.09,US,1675546613
71,tuktoyaktuk,69.4541,-133.0374,-41.0,66,0,0.0,CA,1675546555
72,san patricio,28.017,-97.5169,21.76,56,40,4.59,US,1675546564
73,hermanus,-34.4187,19.2345,20.45,92,23,3.01,ZA,1675546594
74,goure,13.9835,10.2704,22.5,16,70,3.32,NE,1675546790
75,endicott,42.0984,-76.0494,-6.47,57,100,4.63,US,1675546537
76,vaini,-21.2,-175.2,29.09,79,40,4.12,TO,1675546554
77,acapulco,16.8634,-99.8901,30.9,51,20,3.6,MX,1675546499
78,torbay,47.6666,-52.7314,-13.18,80,75,13.38,CA,1675546594
79,busselton,-33.65,115.3333,22.63,43,75,3.19,AU,1675546651
80,bichura,50.5881,107.6022,-17.95,99,99,0.81,RU,1675546791
81,tazmalt,36.3868,4.3989,7.01,82,2,2.1,DZ,1675546792
82,nardaran,40.5561,50.0056,3.8,93,0,2.06,AZ,1675546792
83,pimenta bueno,-11.6725,-61.1936,24.17,93,100,1.7,BR,1675546793
84,khatanga,71.9667,102.5,-38.92,100,52,2.17,RU,1675546441
85,vardo,70.3705,31.1107,-9.01,79,85,5.66,NO,1675546794
86,namtsy,62.7161,129.6658,-33.39,100,100,0.78,RU,1675546794
87,conchagua,13.3078,-87.8647,37.1,23,13,3.88,SV,1675546795
88,hamilton,39.1834,-84.5333,9.35,36,100,6.69,US,1675546369
89,norman wells,65.282,-126.8329,-25.98,64,75,2.06,CA,1675546795
90,sitka,57.0531,-135.33,1.94,93,100,1.54,US,1675546675
91,grants,35.1473,-107.8514,15.13,7,0,4.12,US,1675546796
92,esperance,-33.8667,121.9,17.63,69,0,6.27,AU,1675546521
93,saint-philippe,-21.3585,55.7679,25.77,86,98,4.39,RE,1675546588
94,san juan,-31.5375,-68.5364,31.07,23,0,5.04,AR,1675546731
95,kibray,41.3873,69.4641,6.29,97,100,0.39,UZ,1675546797
96,jacksonville,30.3322,-81.6556,17.25,69,75,8.23,US,1675546225
97,tramore,52.1624,-7.1524,6.52,75,64,1.34,IE,1675546798
98,albany,42.6001,-73.9662,-10.11,46,61,1.64,US,1675546100
99,saquena,-4.6667,-73.5167,27.4,67,70,1.93,PE,1675546799
100,alofi,-19.0595,-169.9187,27.94,78,100,3.6,NU,1675546559
101,ashta,23.0167,76.7167,15.12,33,8,2.16,IN,1675546799
102,manakara,-22.1333,48.0167,23.02,91,99,0.94,MG,1675546800
103,port hardy,50.6996,-127.4199,8.1,93,75,10.29,CA,1675546571
104,hithadhoo,-0.6,73.0833,27.51,71,95,6.66,MV,1675546530
105,nuuk,64.1835,-51.7216,-14.66,85,40,14.4,GL,1675546759
106,saldanha,-33.0117,17.9442,19.03,96,91,6.84,ZA,1675546605
107,puerto ayora,-0.7393,-90.3518,29.98,88,51,3.13,EC,1675546604
108,tambopata,-12.7333,-69.1833,29.94,70,75,2.57,PE,1675546801
109,san quintin,30.4833,-115.95,17.9,54,0,4.27,MX,1675546444
110,guerrero negro,27.9769,-114.0611,20.88,35,0,4.75,MX,1675546680
111,mundi,22.0667,76.5,16.87,31,22,2.29,IN,1675546809
112,ambulu,-8.345,113.6058,24.3,88,100,1.69,ID,1675546813
113,fukue,32.6881,128.8419,8.36,51,12,3.64,JP,1675546733
114,chimala,-8.85,34.0167,18.71,94,100,0.71,TZ,1675546839
115,hami,42.8,93.45,-1.08,37,100,2.2,CN,1675546839
116,byron bay,-28.65,153.6167,26.08,77,100,3.8,AU,1675546840
117,ternate,0.8,127.4,25.96,79,100,3.21,ID,1675546840
118,kurkino,53.4257,38.6582,-5.69,96,100,1.95,RU,1675546841
119,saskylakh,71.9167,114.0833,-36.88,99,87,1.37,RU,1675546841
120,ancud,-41.8697,-73.8203,20.12,68,53,1.92,CL,1675546723
121,mullovka,54.2,49.4,-13.1,97,100,1.4,RU,1675546842
122,hobart,-42.8794,147.3294,16.14,65,20,3.09,AU,1675546415
123,megion,61.0296,76.1136,-16.99,100,98,2.42,RU,1675546842
124,barry,51.4067,-3.2694,9.15,93,100,5.14,GB,1675546843
125,buala,-8.145,159.5921,26.74,85,100,2.66,SB,1675546843
126,katsuura,35.1333,140.3,6.33,68,8,6.03,JP,1675546522
127,cayenne,4.9333,-52.3333,23.02,94,100,6.17,GF,1675546609
128,airai,-8.9266,125.4092,15.75,90,99,1.01,TL,1675546598
129,dawson creek,55.7666,-120.2362,5.8,56,20,6.17,CA,1675546844
130,inhambane,-23.865,35.3833,24.36,86,9,3.79,MZ,1675546546
131,sao paulo de olivenca,-3.3783,-68.8725,24.58,95,99,1.23,BR,1675546845
132,vicuna,-30.0319,-70.7081,30.43,46,17,3.08,CL,1675546846
